Astro ID,Dec,Decision,Depth,Dur,Epoc,File,Final,Per,RA,SMass,SRad,SRadEst,TIC ID,Tmag,as,ch,disp_b,disp_e,disp_j,disp_n,disp_p,disp_t,disp_u,dm,et,md,mk,total_votes,selected_total_votes,first_letter,sector,prefix,kind,label,cam,ccd
18,-28.68302291,,33426.84895,0.2118125171,1659.53541,mk_hlsp_qlp_tess_ffi-s0013-0000000108911914_tess_v01_llc.fits,eb,4.518678439,285.981008,,16.4598,16.73051872,108911914,11.0105,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,13,mk,single-sector,EB,1.0,3.0
19,29.27729629,,4576.174864,0.1631543683,1686.658335,mk_hlsp_qlp_tess_ffi-s0014-0000000109765689_tess_v01_llc.fits,et,3.95421118,291.0021577,1.682,4.65469,4.803716841,109765689,9.07474,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,14,mk,single-sector,EB,1.0,2.0
20,28.76061016,,99582.5698,0.2570345842,1686.74409,mk_hlsp_qlp_tess_ffi-s0014-0000000110310815_tess_v01_llc.fits,et,5.072912054,291.4494988,2.26,2.17588,2.212077475,110310815,8.84156,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,14,mk,single-sector,EB,1.0,2.0
21,25.18945654,,512.1610079,0.1201059647,1684.205668,mk_hlsp_qlp_tess_ffi-s0014-0000000110428269_tess_v01_llc.fits,eb,0.6494531364,291.463077,2.559,2.58571,2.656300567,110428269,8.90601,pt,eb,1,1,0,0,0,0,0,,eb,eb,nb,10,1,e,14,mk,single-sector,EB,1.0,3.0
22,28.48615867,,14811.80199,0.1107401185,1684.700645,mk_hlsp_qlp_tess_ffi-s0014-0000000111682678_tess_v01_llc.fits,et,1.251693243,292.1417712,2.197,2.98135,2.842400545,111682678,8.6275,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,14,mk,single-sector,EB,1.0,2.0
23,-41.84197549,eb,2808.357238,0.1559239723,1658.827106,mk_hlsp_qlp_tess_ffi-s0013-0000000112086256_tess_v01_llc.fits,eb,3.319850357,269.3396156,1.36,1.38811,1.355581831,112086256,10.7272,eb,eb,1,1,0,0,0,0,0,,pb,pb,pb,2,1,e,13,mk,single-sector,EB,1.0,1.0
24,29.308247,,60245.57133,0.2493144619,1685.17575,mk_hlsp_qlp_tess_ffi-s0014-0000000112362827_tess_v01_llc.fits,et,3.088790279,292.504239,,,,112362827,9.28,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,14,mk,single-sector,EB,1.0,2.0
25,-41.90598092,,204789.7869,0.4148164455,1659.47435,mk_hlsp_qlp_tess_ffi-s0013-0000000112681546_tess_v01_llc.fits,et,2.211499913,269.5605466,2.63,4.79903,5.08687204,112681546,9.9292,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,13,mk,single-sector,EB,1.0,1.0
26,-32.85826862,et,49733.80013,0.1309199771,1657.834257,mk_hlsp_qlp_tess_ffi-s0027-0000000112710057_tess_v01_llc.fits,et,1.161329086,291.6488453,,1.12392,,112710057,10.0712,et,et,0,1,0,0,0,1,0,,et,eu,et,2,1,e,27,mk,single-sector,EB,1.0,4.0
27,-30.94062695,eb,10608.35247,0.1717532685,1659.400756,mk_hlsp_qlp_tess_ffi-s0027-0000000112755167_tess_v01_llc.fits,eb,3.672943346,291.8550371,2.16,1.6965,1.754149963,112755167,10.1115,pb,eb,1,1,0,0,0,0,0,,pb,pb,pb,2,1,e,27,mk,single-sector,EB,1.0,4.0
28,-35.13301411,eb,5404.522273,0.3137747041,1657.841206,mk_hlsp_qlp_tess_ffi-s0027-0000000112827315_tess_v01_llc.fits,eb,3.230073218,292.1333941,,3.20577,3.311259441,112827315,8.7797,et,eu,1,1,0,0,0,0,0,,eu,nu,eu,2,1,e,27,mk,single-sector,EB,1.0,4.0
29,-35.01588204,et,33747.80469,0.1316626579,1657.680129,mk_hlsp_qlp_tess_ffi-s0027-0000000112827464_tess_v01_llc.fits,et,3.422588018,292.1555126,0.99,1.52841,1.528258559,112827464,11.0919,et,et,0,1,0,0,0,1,0,,et,eu,et,2,1,e,27,mk,single-sector,EB,1.0,4.0
30,-37.31012666,eb,3804.134448,0.1480050258,1660.593198,mk_hlsp_qlp_tess_ffi-s0013-0000000113272112_tess_v01_llc.fits,eb,4.585361449,284.2631434,,13.7744,12.12333248,113272112,11.2413,pb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,13,mk,single-sector,EB,1.0,3.0
31,-30.26415882,,8411.574856,0.1105237175,1660.148048,mk_hlsp_qlp_tess_ffi-s0027-0000000113347424_tess_v01_llc.fits,et,3.252771551,293.4028733,1.15,3.45381,3.841885854,113347424,10.7049,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,27,mk,single-sector,EB,1.0,4.0
32,-35.06435975,pt,3954.951947,0.08032136715,1661.135729,mk_hlsp_qlp_tess_ffi-s0027-0000000113428669_tess_v01_llc.fits,pt,5.495498402,293.5445289,1.27,2.211,2.586871038,113428669,11.4677,pt,pt,0,0,0,0,1,1,0,,pt,et,pt,2,1,p,27,mk,single-sector,Planet (P),1.0,4.0
33,-32.56745179,,2940.092146,0.06935840431,1657.286158,mk_hlsp_qlp_tess_ffi-s0027-0000000113496667_tess_v01_llc.fits,eb,0.3453667591,293.5656933,1.0,0.889389,0.8768990571,113496667,10.1632,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,27,mk,single-sector,EB,1.0,4.0
34,-29.96936993,,1107.324181,0.1893314296,1657.25426,mk_hlsp_qlp_tess_ffi-s0027-0000000113501026_tess_v01_llc.fits,eb,3.268996422,293.4930753,1.088,2.86652,2.91796285,113501026,9.5604,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,27,mk,single-sector,EB,1.0,4.0
35,-35.47333616,,7338.905954,0.1234774227,1658.279697,mk_hlsp_qlp_tess_ffi-s0027-0000000113565705_tess_v01_llc.fits,et,1.658154514,293.7065255,1.39,3.27459,3.007322765,113565705,9.0238,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,27,mk,single-sector,EB,1.0,4.0
36,-41.15511921,,11777.49345,0.1534111535,1658.10755,mk_hlsp_qlp_tess_ffi-s0027-0000000113588970_tess_v01_llc.fits,et,3.817982835,293.7145239,1.71,3.12152,3.040359966,113588970,7.7626,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,27,mk,single-sector,EB,1.0,1.0
37,-38.60438138,,12503.61447,0.1789960307,1658.262228,mk_hlsp_qlp_tess_ffi-s0027-0000000113594232_tess_v01_llc.fits,eb,4.392096913,293.6447891,1.15,2.18643,2.239242326,113594232,11.1459,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,27,mk,single-sector,EB,1.0,4.0
38,-32.71390836,,24320.90525,0.159655005,1657.392529,mk_hlsp_qlp_tess_ffi-s0027-0000000113909881_tess_v01_llc.fits,et,1.886372116,294.6006128,1.69,3.21105,3.537897424,113909881,11.3253,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,27,mk,single-sector,EB,1.0,4.0
39,-32.4022345,,73932.25053,0.158302714,1657.113045,mk_hlsp_qlp_tess_ffi-s0013-0000000114053589_tess_v01_llc.fits,et,0.8875488365,295.0204976,1.43,2.16941,2.121784056,114053589,9.9361,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,13,mk,single-sector,EB,1.0,3.0
40,38.85365694,,1685.841172,0.2237180275,1685.240934,mk_hlsp_qlp_tess_ffi-s0015-0000000011469974_tess_v01_llc.fits,eb,2.780879947,303.966983,,,326.5820127,11469974,9.1883,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,15,mk,single-sector,EB,1.0,2.0
41,27.30093699,eb,14646.20342,0.0965770613,1685.362417,mk_hlsp_qlp_tess_ffi-s0014-0000000115064173_tess_v01_llc.fits,eb,1.750328745,285.4732944,1.14,3.04047,3.046761676,115064173,8.7155,et,eb,1,1,0,0,0,0,0,,eb,eu,eb,2,1,e,14,mk,single-sector,EB,1.0,2.0
42,32.33282281,,36491.98724,0.2869123577,1822.255996,mk_hlsp_qlp_tess_ffi-s0019-0000000115637849_tess_v01_llc.fits,et,8.456048763,84.0950274,2.565,4.76613,4.7169434,115637849,8.74738,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,19,mk,single-sector,EB,1.0,4.0
43,35.12633058,pu,1584.177724,0.04171299703,1738.988644,mk_hlsp_qlp_tess_ffi-s0016-0000000115684219_tess_v01_llc.fits,pu,0.3229951405,339.2273151,,,108.7969198,115684219,8.8368,pt,pu,0,0,0,0,1,0,1,,eu,eu,eu,2,1,p,16,mk,single-sector,Planet (P),1.0,3.0
44,33.88948623,,2910.403812,0.1894637979,1740.046105,mk_hlsp_qlp_tess_ffi-s0016-0000000115771549_tess_v01_llc.fits,pt,4.718122888,339.8159627,,,5.567246514,115771549,8.3764,pt,pt,0,0,0,0,1,1,0,,pt,pt,pt,2,1,p,16,mk,single-sector,Planet (P),1.0,3.0
45,45.96417807,,71728.82816,0.1128993221,1871.568693,mk_hlsp_qlp_tess_ffi-s0021-0000000115854656_tess_v01_llc.fits,et,1.451769091,157.182741,,,,115854656,8.2872,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,21,mk,single-sector,EB,2.0,4.0
46,32.10641616,,181061.03,0.2557512094,1821.637553,mk_hlsp_qlp_tess_ffi-s0019-0000000116331699_tess_v01_llc.fits,et,9.915652914,85.16746562,,2.34164,33.36996662,116331699,8.8039,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,19,mk,single-sector,EB,1.0,4.0
47,47.05683584,,315.3987612,0.0648787698,1739.474673,mk_hlsp_qlp_tess_ffi-s0024-0000000116483514_tess_v01_llc.fits,pt,1.452042035,232.9450688,0.65,0.68962,0.710928737,116483514,9.1043,pt,pt,0,0,0,0,1,1,0,,pt,pt,pt,2,1,p,24,mk,single-sector,Planet (P),2.0,3.0
48,35.1857962,pt,6176.697753,0.06763288376,1817.818286,mk_hlsp_qlp_tess_ffi-s0019-0000000116608612_tess_v01_llc.fits,pt,3.455851649,85.66322321,1.996,1.77761,1.743561206,116608612,9.17041,pt,pt,0,0,0,0,1,1,0,,pt,pt,nt,2,1,p,19,mk,single-sector,Planet (P),1.0,4.0
49,25.70254695,eb,2539.789029,0.1264531204,1684.291943,mk_hlsp_qlp_tess_ffi-s0014-0000000116681081_tess_v01_llc.fits,eb,6.450298154,300.1334442,,18.1638,18.84242118,116681081,9.0332,pb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,14,mk,single-sector,EB,1.0,4.0
50,49.26080393,eb,4297.645397,0.1349923935,1792.281164,mk_hlsp_qlp_tess_ffi-s0018-0000000116724157_tess_v01_llc.fits,eb,1.610561433,46.5093666,,7.2438,7.560784205,116724157,9.2488,et,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,18,mk,single-sector,EB,2.0,4.0
51,34.03143096,eb,99218.49756,0.1571551243,1711.526149,mk_hlsp_qlp_tess_ffi-s0015-0000000116727724_tess_v01_llc.fits,eb,1.646735571,318.5672393,1.48,2.34165,2.289395444,116727724,9.16094,et,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,15,mk,single-sector,EB,1.0,4.0
52,52.18393269,,79175.55398,0.3733183259,1794.022762,mk_hlsp_qlp_tess_ffi-s0018-0000000116888149_tess_v01_llc.fits,et,4.915369151,46.93873284,1.968,3.94263,3.867248002,116888149,8.05382,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,18,mk,single-sector,EB,2.0,4.0
53,30.16771655,,60173.00569,0.1580252565,1817.513153,mk_hlsp_qlp_tess_ffi-s0019-0000000117007618_tess_v01_llc.fits,et,0.4608243407,86.40219791,,,,117007618,8.5089,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,19,mk,single-sector,EB,1.0,4.0
54,31.21148351,,59301.55834,0.2052776216,1818.92263,mk_hlsp_qlp_tess_ffi-s0019-0000000117096174_tess_v01_llc.fits,et,2.778272242,86.36748389,,,6.852035545,117096174,9.0535,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,19,mk,single-sector,EB,1.0,4.0
55,33.45338013,eb,1571.768725,0.1945053746,1712.70574,mk_hlsp_qlp_tess_ffi-s0015-0000000117289683_tess_v01_llc.fits,eb,1.48050425,319.7137384,,,84.35645763,117289683,6.2377,et,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,15,mk,single-sector,EB,1.0,4.0
56,27.98063042,,13683.84053,0.2199161941,1875.244979,mk_hlsp_qlp_tess_ffi-s0021-0000000117378334_tess_v01_llc.fits,pt,8.850560283,131.9758768,1.135,1.86189,1.799058705,117378334,8.26544,pt,pt,0,0,0,0,1,1,0,,pt,pt,pt,2,1,p,21,mk,single-sector,Planet (P),1.0,3.0
57,48.10868833,,483353.6921,0.4659874516,1792.024514,mk_hlsp_qlp_tess_ffi-s0018-0000000117397619_tess_v01_llc.fits,et,8.038677509,48.34319712,,2.98777,2.953363799,117397619,7.49445,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,18,mk,single-sector,EB,1.0,1.0
58,34.51918453,et,9413.086441,0.2359356259,1713.144291,mk_hlsp_qlp_tess_ffi-s0015-0000000117446938_tess_v01_llc.fits,et,2.95987596,320.0173385,,,66.85300973,117446938,8.9874,et,nt,0,1,0,0,0,1,0,,et,pt,et,2,1,e,15,mk,single-sector,EB,1.0,4.0
59,31.43383477,,1374.612343,0.1534881225,1714.603233,mk_hlsp_qlp_tess_ffi-s0015-0000000117453686_tess_v01_llc.fits,eb,3.723710672,319.9930495,,,112.7247639,117453686,8.781,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,15,mk,single-sector,EB,1.0,4.0
60,51.18973503,,12218.03508,0.3985401696,1792.713934,mk_hlsp_qlp_tess_ffi-s0018-0000000117659938_tess_v01_llc.fits,et,4.43564885,49.30068854,,6.4826,6.780638904,117659938,9.1008,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,18,mk,single-sector,EB,2.0,4.0
61,-59.20171896,,3811.97927,0.1452813895,1654.233346,mk_hlsp_qlp_tess_ffi-s0013-0000000117934375_tess_v01_llc.fits,et,2.118814303,271.3456784,,9.14391,8.74731993,117934375,9.9271,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,13,mk,single-sector,EB,2.0,4.0
62,-58.53068096,,78273.60067,0.2839874241,1655.493479,mk_hlsp_qlp_tess_ffi-s0013-0000000118191063_tess_v01_llc.fits,eb,2.64871018,271.9602596,,10.4421,10.48928249,118191063,10.7407,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,13,mk,single-sector,EB,2.0,4.0
63,-58.53430793,et,206882.0173,0.2846109681,1655.492991,mk_hlsp_qlp_tess_ffi-s0013-0000000118191083_tess_v01_llc.fits,et,2.648806882,271.9872931,1.18,2.5646,2.562585991,118191083,11.1894,et,et,0,1,0,0,0,1,0,,et,eb,et,2,1,e,13,mk,single-sector,EB,2.0,4.0
64,-56.78263858,,28669.1848,0.1063307593,1654.644749,mk_hlsp_qlp_tess_ffi-s0013-0000000118200081_tess_v01_llc.fits,et,0.9530078208,272.184314,,4.37153,,118200081,10.4577,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,13,mk,single-sector,EB,2.0,4.0
65,-55.17133636,eb,739.6439446,0.06523713043,1654.264606,mk_hlsp_qlp_tess_ffi-s0013-0000000118274531_tess_v01_llc.fits,eb,0.9294480453,272.1120281,,,5.99515533,118274531,11.2578,eb,eb,1,1,0,0,0,0,0,,pb,pb,pb,2,1,e,13,mk,single-sector,EB,2.0,4.0
66,-55.46225466,et,17017.26023,0.2239558294,1662.655777,mk_hlsp_qlp_tess_ffi-s0013-0000000118280350_tess_v01_llc.fits,et,16.32859977,272.3796449,1.41,3.18626,3.096167194,118280350,10.7466,et,et,0,1,0,0,0,1,0,,et,eu,et,2,1,e,13,mk,single-sector,EB,2.0,4.0
67,29.57049657,,1395.241924,0.2123653002,1793.39836,mk_hlsp_qlp_tess_ffi-s0018-0000000118301361_tess_v01_llc.fits,eb,3.46632536,34.19582277,1.631,3.01857,3.212663414,118301361,9.08054,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,18,mk,single-sector,EB,1.0,3.0
68,-58.1127178,,27262.81247,0.2675471607,1655.288536,mk_hlsp_qlp_tess_ffi-s0013-0000000118324224_tess_v01_llc.fits,et,1.271581476,272.4950755,1.31,4.50872,4.961817215,118324224,9.2867,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,13,mk,single-sector,EB,2.0,4.0
69,28.97507553,et,11917.40417,0.117227164,1794.664029,mk_hlsp_qlp_tess_ffi-s0018-0000000118389230_tess_v01_llc.fits,et,3.757395492,36.89493082,0.991,1.44559,1.439097452,118389230,9.17788,pt,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,18,mk,single-sector,EB,1.0,3.0
70,-54.04076599,,7171.396986,0.324226651,1655.279631,mk_hlsp_qlp_tess_ffi-s0013-0000000118399541_tess_v01_llc.fits,eb,2.045004211,272.4881328,,9.93726,10.95854744,118399541,10.9594,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,13,mk,single-sector,EB,2.0,4.0
71,-59.24178332,et,62545.3695,0.2926896588,1655.729176,mk_hlsp_qlp_tess_ffi-s0013-0000000118578646_tess_v01_llc.fits,et,7.596555557,273.270017,,2.29301,2.163011751,118578646,10.5349,et,et,0,1,0,0,0,1,0,,et,eu,et,2,1,e,13,mk,single-sector,EB,2.0,4.0
72,-54.4340825,,6966.086661,0.1849561813,1664.074317,mk_hlsp_qlp_tess_ffi-s0013-0000000118798035_tess_v01_llc.fits,et,15.26155583,273.728041,0.99,1.079,1.054483679,118798035,11.2937,et,pt,0,1,0,0,0,1,0,,et,nt,et,10,1,e,13,mk,single-sector,EB,2.0,4.0
73,-59.52384073,eb,9776.498952,0.1392999603,1655.44427,mk_hlsp_qlp_tess_ffi-s0013-0000000118837152_tess_v01_llc.fits,eb,4.364568057,274.1967309,,1.98397,1.965859928,118837152,10.649,et,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,13,mk,single-sector,EB,2.0,4.0
74,-56.28597092,,9837.256597,0.0979802205,1654.593049,mk_hlsp_qlp_tess_ffi-s0013-0000000118919710_tess_v01_llc.fits,et,1.70965892,274.377261,1.18,2.49311,2.626442629,118919710,10.989,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,13,mk,single-sector,EB,2.0,4.0
75,-56.62714707,,55019.13323,0.1352795129,1654.304246,mk_hlsp_qlp_tess_ffi-s0013-0000000119045610_tess_v01_llc.fits,et,1.449067759,274.9837133,1.27,1.7313,1.877961125,119045610,11.2745,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,13,mk,single-sector,EB,2.0,4.0
76,-56.05769039,eb,884.1333532,0.08493496796,1654.132735,mk_hlsp_qlp_tess_ffi-s0013-0000000119046610_tess_v01_llc.fits,eb,3.813222167,275.0283301,0.85,0.892875,0.8207869951,119046610,10.6832,pb,eb,1,1,0,0,0,0,0,,pb,nb,pb,2,1,e,13,mk,single-sector,EB,2.0,4.0
77,-55.8507668,pb,606.2985794,0.06876275015,1654.316207,mk_hlsp_qlp_tess_ffi-s0013-0000000119153127_tess_v01_llc.fits,pb,0.5593023587,275.5288002,1.15,2.57529,2.515547415,119153127,10.7523,pt,pb,1,0,0,0,1,0,0,,pb,nb,pb,2,1,p,13,mk,single-sector,Planet (P),2.0,4.0
78,-54.54949963,,238115.4724,0.2569486217,1654.15793,mk_hlsp_qlp_tess_ffi-s0013-0000000119379330_tess_v01_llc.fits,et,1.101270879,276.2199133,1.4,3.05164,2.889602443,119379330,11.0654,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e,13,mk,single-sector,EB,2.0,4.0
79,-57.10852287,et,122615.5292,0.319353387,1659.08115,mk_hlsp_qlp_tess_ffi-s0013-0000000119562612_tess_v01_llc.fits,et,6.080016477,277.0923625,1.14,2.62888,2.667843964,119562612,11.2433,et,et,0,1,0,0,0,1,0,,et,eb,et,2,1,e,13,mk,single-sector,EB,2.0,4.0
80,-59.58698781,eb,954.1877035,0.1299168291,1654.218249,mk_hlsp_qlp_tess_ffi-s0013-0000000119727527_tess_v01_llc.fits,eb,0.6554028774,277.7522731,,,70.80568138,119727527,10.9039,et,et,1,1,0,0,0,0,0,,eb,eu,eb,2,1,e,13,mk,single-sector,EB,2.0,4.0
81,-59.60266038,eb,1377.556832,0.1177054494,1654.214526,mk_hlsp_qlp_tess_ffi-s0013-0000000119727544_tess_v01_llc.fits,eb,0.6555465849,277.6940112,1.13,2.2131,2.205422634,119727544,11.5013,eb,eb,1,1,0,0,0,0,0,,pb,eb,pb,2,1,e,13,mk,single-sector,EB,2.0,4.0
82,-55.32477323,,3915.322549,0.1446215416,1663.720682,mk_hlsp_qlp_tess_ffi-s0013-0000000119774374_tess_v01_llc.fits,eb,15.09955815,278.0366591,,9.79593,10.72880248,119774374,11.1743,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,13,mk,single-sector,EB,2.0,4.0
83,-56.05612837,,26907.84443,0.1790774528,1654.296268,mk_hlsp_qlp_tess_ffi-s0013-0000000119775495_tess_v01_llc.fits,eb,1.596782493,278.2144943,1.57,2.56597,2.648639337,119775495,11.3889,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,13,mk,single-sector,EB,2.0,4.0
84,-57.34697677,,3935.54084,0.1490120732,1654.815869,mk_hlsp_qlp_tess_ffi-s0013-0000000119777368_tess_v01_llc.fits,eb,0.9469885432,278.0490977,1.2,1.60581,1.591182035,119777368,11.0547,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e,13,mk,single-sector,EB,2.0,4.0
