Astro ID,Dec,Decision,Depth,Dur,Epoc,File,Final,Per,RA,SMass,SRad,SRadEst,TIC ID,Tmag,as,ch,disp_b,disp_e,disp_j,disp_n,disp_p,disp_t,disp_u,dm,et,md,mk,total_votes,selected_total_votes,first_letter
66,-55.46225466,et,17017.26023,0.2239558294,1662.655777,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000118280350_tess_v01_llc.fits,et,16.32859977,272.3796449,1.41,3.18626,3.096167194,118280350,10.7466,et,et,0,1,0,0,0,1,0,,et,eu,et,2,1,e
68,-58.1127178,,27262.81247,0.2675471607,1655.288536,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000118324224_tess_v01_llc.fits,et,1.271581476,272.4950755,1.31,4.50872,4.961817215,118324224,9.2867,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
70,-54.04076599,,7171.396986,0.324226651,1655.279631,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000118399541_tess_v01_llc.fits,eb,2.045004211,272.4881328,,9.93726,10.95854744,118399541,10.9594,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
71,-59.24178332,et,62545.3695,0.2926896588,1655.729176,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000118578646_tess_v01_llc.fits,et,7.596555557,273.270017,,2.29301,2.163011751,118578646,10.5349,et,et,0,1,0,0,0,1,0,,et,eu,et,2,1,e
72,-54.4340825,,6966.086661,0.1849561813,1664.074317,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000118798035_tess_v01_llc.fits,et,15.26155583,273.728041,0.99,1.079,1.054483679,118798035,11.2937,et,pt,0,1,0,0,0,1,0,,et,nt,et,10,1,e
74,-56.28597092,,9837.256597,0.0979802205,1654.593049,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000118919710_tess_v01_llc.fits,et,1.70965892,274.377261,1.18,2.49311,2.626442629,118919710,10.989,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
75,-56.62714707,,55019.13323,0.1352795129,1654.304246,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000119045610_tess_v01_llc.fits,et,1.449067759,274.9837133,1.27,1.7313,1.877961125,119045610,11.2745,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
76,-56.05769039,eb,884.1333532,0.08493496796,1654.132735,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000119046610_tess_v01_llc.fits,eb,3.813222167,275.0283301,0.85,0.892875,0.8207869951,119046610,10.6832,pb,eb,1,1,0,0,0,0,0,,pb,nb,pb,2,1,e
77,-55.8507668,pb,606.2985794,0.06876275015,1654.316207,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000119153127_tess_v01_llc.fits,pb,0.5593023587,275.5288002,1.15,2.57529,2.515547415,119153127,10.7523,pt,pb,1,0,0,0,1,0,0,,pb,nb,pb,2,1,p
78,-54.54949963,,238115.4724,0.2569486217,1654.15793,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000119379330_tess_v01_llc.fits,et,1.101270879,276.2199133,1.4,3.05164,2.889602443,119379330,11.0654,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
80,-59.58698781,eb,954.1877035,0.1299168291,1654.218249,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000119727527_tess_v01_llc.fits,eb,0.6554028774,277.7522731,,,70.80568138,119727527,10.9039,et,et,1,1,0,0,0,0,0,,eb,eu,eb,2,1,e
81,-59.60266038,eb,1377.556832,0.1177054494,1654.214526,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000119727544_tess_v01_llc.fits,eb,0.6555465849,277.6940112,1.13,2.2131,2.205422634,119727544,11.5013,eb,eb,1,1,0,0,0,0,0,,pb,eb,pb,2,1,e
82,-55.32477323,,3915.322549,0.1446215416,1663.720682,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000119774374_tess_v01_llc.fits,eb,15.09955815,278.0366591,,9.79593,10.72880248,119774374,11.1743,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
84,-57.34697677,,3935.54084,0.1490120732,1654.815869,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000119777368_tess_v01_llc.fits,eb,0.9469885432,278.0490977,1.2,1.60581,1.591182035,119777368,11.0547,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
85,-57.63496991,eb,2760.138094,0.1734861962,1654.890641,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000119822417_tess_v01_llc.fits,eb,6.747581841,278.3278708,1.27,1.5302,1.511639464,119822417,10.8837,eb,eb,1,1,0,0,0,0,0,,pb,eb,pb,2,1,e
86,-57.43113909,eb,12800.70118,0.31264555,1655.187956,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000119881567_tess_v01_llc.fits,eb,2.917125052,278.6117093,0.85,0.737769,0.8120730561,119881567,10.9634,eb,eb,1,1,0,0,0,0,0,,pb,nb,eb,2,1,e
88,-56.83644042,,1362.964171,0.06470866987,1655.050804,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000120199940_tess_v01_llc.fits,pb,1.497587629,279.9891513,1.02,0.906287,0.8980463448,120199940,11.1941,pb,pb,1,0,0,0,1,0,0,,pb,pb,pb,2,1,p
90,-56.06046936,,230404.1929,0.1945006632,1655.236357,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000120393609_tess_v01_llc.fits,et,1.254747521,280.7743944,0.97,1.92565,1.935186295,120393609,11.0529,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
91,-54.20579722,eb,1212.113557,0.09625427342,1655.633277,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000120396319_tess_v01_llc.fits,eb,2.107436267,280.8861645,1.15,1.10056,1.088026503,120396319,10.8432,eb,eb,1,1,0,0,0,0,0,,pb,pb,pb,2,1,e
113,-44.29918684,,25326.72786,0.1811967747,1658.350361,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000128710970_tess_v01_llc.fits,et,4.318202283,299.7098126,1.33,2.60527,2.847601277,128710970,11.0857,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
115,-42.16984457,,197099.2493,0.3926538787,1656.698651,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000128798054_tess_v01_llc.fits,et,3.543443348,300.2697759,1.41,3.54085,3.466464768,128798054,7.7685,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
116,-43.98348068,et,1803.475311,0.05756684091,1657.265705,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000128966834_tess_v01_llc.fits,et,2.005533573,301.3113411,,1.7167,6.246455754,128966834,11.4555,pt,pu,0,1,0,0,0,1,0,,pt,nt,et,2,1,e
117,-45.84952086,,9347.763315,0.2638527569,1664.314949,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000129036837_tess_v01_llc.fits,et,10.45389042,301.7920247,,6.90467,7.79058216,129036837,11.0411,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
143,-72.59249095,,4818.857938,0.2580680782,1325.79019,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000140892243_tess_v01_llc.fits,eb,1.68735674,76.44018767,0.88,0.91322,0.8174670146,140892243,11.3701,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
145,-73.47491778,,230241.6867,0.2248144871,1330.314649,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000141685465_tess_v01_llc.fits,et,7.807553344,90.40443309,1.01,1.44293,1.481112016,141685465,11.3742,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
146,-73.78819005,,73459.55416,0.1848104552,1328.09523,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000141809360_tess_v01_llc.fits,et,12.15757001,92.64065018,1.09,1.88593,1.94095984,141809360,11.3708,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
147,-75.25321792,,15804.53168,0.1854466598,1325.820942,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000141866704_tess_v01_llc.fits,eb,1.42326042,93.85984859,2.19,1.69286,1.706969193,141866704,10.4132,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
148,-75.62947063,,683.0850779,0.1796479821,1327.072863,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000141943708_tess_v01_llc.fits,pu,19.05579798,95.59496333,1.22,1.12015,1.123589406,141943708,11.4501,pu,pu,0,0,0,0,1,0,1,,pu,pu,pu,2,1,p
149,-75.75519365,,2455.307498,0.125782994,1326.992669,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000142018015_tess_v01_llc.fits,eb,2.734082227,97.11093168,1.21,1.50209,1.325813467,142018015,11.3598,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
155,-45.89165141,,12520.95733,0.1516177834,1656.458119,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000143257768_tess_v01_llc.fits,pt,1.662226047,293.3896804,1.17,1.61099,1.670388525,143257768,11.2016,pt,pt,0,0,0,0,1,1,0,,pt,pt,pt,2,1,p
156,-45.10377962,,39250.48375,0.4912272494,1658.717369,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000143294289_tess_v01_llc.fits,eb,9.340913661,293.5467032,1.16,1.68851,1.544204349,143294289,11.0071,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
157,-45.01019864,,916249.261,0.2313775162,1656.702201,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000143409637_tess_v01_llc.fits,et,1.351882149,294.6644988,1.41,2.12108,2.003912002,143409637,10.8621,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
159,-45.03980462,,253332.679,0.1479089846,1661.826009,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000143651157_tess_v01_llc.fits,et,6.344406239,285.1211263,0.97,0.988344,0.9808008998,143651157,11.311,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
160,-44.53382496,,189169.0629,0.2168649801,1658.108877,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000143768683_tess_v01_llc.fits,et,2.883329865,285.6762527,1.31,2.18422,2.182282115,143768683,10.1118,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
161,-45.71173684,eb,23444.8907,0.1461872086,1655.703246,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000143803539_tess_v01_llc.fits,eb,0.8114204144,285.7720193,,,2.82814972,143803539,8.0193,eb,eb,1,1,0,0,0,0,0,,eb,eu,eb,2,1,e
225,-83.98479927,eb,3333.044859,0.1331659567,1626.378475,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000027951093_tess_v01_llc.fits,eb,1.719084707,249.832454,1.52,3.83948,3.64288382,27951093,10.9764,eu,eb,1,1,0,0,0,0,0,,pb,eb,eb,2,1,e
227,-84.96339038,pb,1089.637503,0.1839859846,1627.342873,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000028046109_tess_v01_llc.fits,pb,8.721241122,253.8250674,1.32,1.58961,1.594308446,28046109,10.9492,pb,pb,1,0,0,0,1,0,0,,pb,eb,eb,2,1,p
235,-69.39915072,pb,442.2593631,0.1276515711,1326.27887,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000029984131_tess_v01_llc.fits,pb,0.9444326008,72.95146657,,,2.304296046,29984131,10.0465,pb,pb,1,0,0,0,1,0,0,,pb,eb,pb,2,1,p
237,-66.51777101,eb,2706.601369,0.1486165014,1326.607817,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000030275619_tess_v01_llc.fits,eb,1.538943528,74.07203119,,,10.88677183,30275619,11.3819,pb,pb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
238,-32.74322174,eb,784.7911292,0.06483626513,1657.619247,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000030349725_tess_v01_llc.fits,eb,0.5459031786,285.5084453,1.101,1.66394,1.665855882,30349725,11.3073,pb,pb,1,1,0,0,0,0,0,,pb,eb,eb,2,1,e
239,-67.05520422,,816.7472562,0.2104841254,1327.686415,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000030471979_tess_v01_llc.fits,eb,2.00992496,74.94531958,,5.11296,4.685573943,30471979,11.1164,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
241,-31.1090558,pu,371.6542806,0.1547153428,1657.20491,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000030508512_tess_v01_llc.fits,pu,1.274784938,285.8826487,1.49,1.92459,1.937653906,30508512,10.8225,pt,pb,0,0,0,0,1,0,1,,pt,nt,pu,2,1,p
242,-71.82731011,,2320.814548,0.1572916596,1325.907423,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000030761513_tess_v01_llc.fits,eb,2.973434944,75.83454945,,3.40359,3.471791022,30761513,11.344,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
243,-32.69298418,,2271.687049,0.09689398654,1658.274213,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000030811026_tess_v01_llc.fits,eb,1.269900795,287.5733816,,6.37074,6.464016786,30811026,11.4015,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
244,-68.56685107,eb,715.554737,0.1552706426,1326.410772,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000030848598_tess_v01_llc.fits,eb,1.507827656,75.73747208,1.02,1.51204,1.011248112,30848598,10.8975,pt,eb,1,1,0,0,0,0,0,,et,eu,eb,2,1,e
245,-30.34213418,,667775.4991,0.2155020759,1657.183594,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000030910046_tess_v01_llc.fits,et,1.435687628,287.6510615,2.12,2.2486,2.235274591,30910046,11.1713,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
246,-67.29522064,pb,395.5525105,0.2651439748,1329.340418,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000030931288_tess_v01_llc.fits,pb,9.515207147,76.11155865,,,7.603623409,30931288,10.9618,pu,pu,1,0,0,0,1,0,0,,pb,nb,pu,2,1,p
247,-32.26680234,,335280.4754,0.1393115813,1657.369233,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000031236325_tess_v01_llc.fits,et,0.474417747,288.2902213,1.22,2.31635,2.318224629,31236325,11.1593,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
248,-30.856711,eb,9467.221327,0.1903130605,1658.262418,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000031300787_tess_v01_llc.fits,eb,3.477886309,288.4725724,,13.1621,13.2585138,31300787,11.3387,pb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
249,-34.74803968,,10935.49308,0.1069142078,1657.365788,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000031496366_tess_v01_llc.fits,et,0.6260673383,288.7913399,1.89,1.90288,1.947171488,31496366,11.2932,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
250,-32.55039569,,1119.51777,0.1496623742,1657.801784,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000031500603_tess_v01_llc.fits,eb,1.113653358,288.7355909,,,76.57612936,31500603,9.7654,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
251,-71.17732226,,273.1270394,0.1810577743,1335.977947,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000031532677_tess_v01_llc.fits,pt,19.3408392,89.42611951,1.32,1.95071,1.956615717,31532677,10.5402,pt,pt,0,0,0,0,1,1,0,,pt,pt,pt,2,1,p
252,-70.78866975,,275917.8885,0.1783846756,1325.909485,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000031796120_tess_v01_llc.fits,et,0.997095656,50.74253214,1.47,2.16576,2.196567045,31796120,10.0141,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
253,-33.89026082,,80523.28515,0.2880936913,1658.214464,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000032094209_tess_v01_llc.fits,et,11.95380968,289.9459797,1.34,2.5431,2.497224793,32094209,10.4587,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
254,-32.01331157,,226570.8059,0.2028626504,1657.530094,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000032273186_tess_v01_llc.fits,et,1.203141802,290.1807901,1.39,2.31626,2.494386174,32273186,11.319,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
255,-30.78485454,,61446.86261,0.2322485189,1658.553065,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000032279509_tess_v01_llc.fits,et,1.732044834,290.3770198,,7.37012,14.64890212,32279509,10.9079,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
256,-35.5558719,,2628.37233,0.1980323202,1658.736235,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000032363108_tess_v01_llc.fits,eb,2.792502588,290.4903159,1.34,2.18414,2.233830866,32363108,11.474,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
257,-64.34757135,pt,239.7140776,0.1890077527,1325.973045,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000038571020_tess_v01_llc.fits,pt,12.28760407,63.19914437,1.11,1.29617,1.217414235,38571020,10.1805,pt,pu,0,0,0,0,1,1,0,,pt,pt,pt,2,1,p
261,-70.35716178,,2711.017948,0.05913806025,1325.724734,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000041586601_tess_v01_llc.fits,eb,0.2200143092,93.98528804,1.25,1.40976,1.444578878,41586601,11.4798,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
270,-50.41277856,,15767.51704,0.3216778064,1660.976542,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000049052849_tess_v01_llc.fits,eb,7.009920362,270.8259765,2.07,2.27371,2.165085804,49052849,11.4758,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
271,-50.50820941,eb,914.7523525,0.1082254706,1657.492324,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000049137560_tess_v01_llc.fits,eb,0.6358879451,271.1346436,,3.30888,3.357233133,49137560,11.3357,pb,eb,1,1,0,0,0,0,0,,pb,eb,eb,2,1,e
273,-51.78936609,eb,1838.634751,0.1363329811,1657.731502,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000049296796_tess_v01_llc.fits,eb,0.8618299667,272.9819141,1.1,3.07845,3.08014932,49296796,8.1798,eb,eb,1,1,0,0,0,0,0,,pb,nb,eb,2,1,e
274,-53.30635849,,6545.970309,0.1765579835,1664.835664,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000049390070_tess_v01_llc.fits,eb,13.4019942,273.4694271,,19.3409,13.3991521,49390070,10.482,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
275,-53.1892523,eb,1904.658884,0.05707143396,1654.687796,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000049390251_tess_v01_llc.fits,eb,1.230537793,273.4422909,1.32,3.551,2.838326014,49390251,11.0289,pb,pb,1,1,0,0,0,0,0,,pb,pb,eb,2,1,e
276,-53.0195177,,9398.942123,0.1383456245,1658.297923,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000049390558_tess_v01_llc.fits,et,3.616093067,273.5041216,1.24,2.94106,3.061287702,49390558,10.5999,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
277,-52.81872941,,150151.9235,0.2311046368,1662.0464,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000049534600_tess_v01_llc.fits,et,7.950054949,273.6939033,,,2.464895023,49534600,9.3852,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
285,-65.17570981,et,102001.5439,0.1349658113,1326.798922,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000055404385_tess_v01_llc.fits,et,2.952051114,78.0127666,1.36,1.68762,1.677537516,55404385,6.6081,et,eu,0,1,0,0,0,1,0,,et,et,eu,2,1,e
286,-60.60352738,,309985.2389,0.3213357429,1330.899169,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000055497281_tess_v01_llc.fits,et,14.90535035,71.71773342,1.16,1.52258,1.55071262,55497281,7.198,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
291,-47.70519754,,432296.2219,0.3233238441,1656.847177,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000061329361_tess_v01_llc.fits,et,2.675186229,287.5529298,2.13,2.40273,2.794119555,61329361,11.2229,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
292,-45.62174424,,71123.34881,0.1610280475,1658.060906,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000061381436_tess_v01_llc.fits,et,3.888301071,287.6996203,1.2,1.19341,1.243911046,61381436,11.1402,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
293,-46.27342858,,3097.063209,0.2504634127,1658.076021,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000061615041_tess_v01_llc.fits,et,2.597101806,288.6108538,,6.50584,6.611537438,61615041,11.1308,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
294,-46.21478009,,2268.706762,0.2122380165,1656.710587,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000061615109_tess_v01_llc.fits,eb,3.488556845,288.6428067,,11.0348,10.75267687,61615109,10.4821,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
295,-47.72167773,,189646.4395,0.1730843845,1656.217142,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000061794497_tess_v01_llc.fits,et,1.034646687,289.0161672,1.12,1.9464,1.970838031,61794497,10.87,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
296,-44.43090567,,5875.380422,0.1571647826,1657.139603,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000061802871_tess_v01_llc.fits,eb,7.383103958,289.2911464,,22.9485,19.86687443,61802871,11.3571,eb,eb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
297,-42.17524879,eb,8078.773492,0.111815133,1656.65032,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000062090970_tess_v01_llc.fits,eb,1.453980832,290.4876987,1.15,2.88423,4.301334088,62090970,11.0227,eb,pb,1,1,0,0,0,0,0,,eb,eb,eb,2,1,e
306,-51.51599126,,188787.7162,0.1188743457,1657.509466,astronet_hlsp_qlptglc_tess_ffi-s0103-0000000006400274_tess_v01_llc.fits,et,0.6056355586,283.5206343,1.14,1.69182,1.681379067,6400274,9.1717,et,et,0,1,0,0,0,1,0,,et,et,et,2,1,e
