tidx,Name,Type,Period,Epoch
1003,OGLE-GD-LPV-006666,M,422.8,
1005,ASAS J042633-5626.7,ESD,1.71079,2452468.2
1012,Gaia DR3 6432354270462576640,ACV|roAm|roAp|SXARI,,
1013,Gaia DR3 5877992499322816128,SR|M,277.4,
1022,RR TrA,EA/SD,0.71309172,2435629.36932
1028,Gaia DR3 5338796635627082112,SR|M,96.18,
1032,Gaia DR3 5332401051381579136,SR|M,338.3,
1034,Gaia DR3 5338170257613217536,DSCT|GDOR|SXPHE,,
1047,Gaia DR3 5335155014417546240,DSCT|GDOR|SXPHE,1.33882,
1054,ASASSN-V J115517.39-632728.0,SR,530.0,2459047.284
1055,Gaia DR3 5338660807243993216,DSCT|GDOR|SXPHE,,
1056,Gaia DR3 5333022859557413120,SR|M,174.0,
1057,Gaia DR3 5335280466176180736,DSCT|GDOR|SXPHE,,
1061,Gaia DR3 5338645555866749952,ACV|roAm|roAp|SXARI,,
1076,WISE J083656.5-674441,ACEP|CEP,1.1578935,
1078,Gaia DR3 6057412662184038400,SR|M,144.0,
1105,Gaia DR3 5868419807507981440,E,5.591,
1106,Gaia DR3 5868719218244145152,SR|M,138.0,
1113,Gaia DR3 5868411080105825152,S,,
1116,Gaia DR3 5868724750189856896,DSCT|GDOR|SXPHE,,
1116,Gaia DR3 5868724750196131072,RRC,0.286011,
1119,Gaia DR3 5860561971509913088,ROT,,
1120,Gaia DR3 5868468387833996928,L,,
1124,EROS2-GSA J133159-635410,LPV,60.0,
1125,GDS_J1332209-615224,VAR,,
1126,GDS_J1125002-604758,VAR,,
1131,Gaia DR3 5864956895605575552,RS,,
1132,HD 117692,ACV,3.2798,2453074.73
1133,GDS_J1127336-630710,VAR,,
1138,ASAS J113033-6013.3,VAR,,
1141,Gaia DR3 5865280942320514560,L,,
1143,ASAS J113043-6006.5,M,207.2,
1148,Gaia DR3 5334072785738137984,BCEP,,
1158,GDS_J1341189-611810,VAR,,
1159,Gaia DR3 5865408279494732416,DSCT|GDOR|SXPHE,2.79003,
1160,V1052 Cen,CST,,
1161,GDS_J1342099-641622,VAR,,
1161,Gaia DR3 5863967472606678528,L,,
1165,Gaia DR3 5865892923610678656,L,,
1172,Gaia DR3 5865872273406642560,L,,
1174,ASASSN-V J114459.62-651416.0,SR,80.8,2458651.617
1184,Gaia DR3 5864516300721355776,ROT,,
1186,GDS_J1356451-640530,VAR,,
1196,ASASSN-V J123106.26-675315.3,SR,207.0,2457780.8
1205,OGLE-GD-LPV-005120,M,468.3,
1209,GDS_J1403563-620043,VAR,,
1212,ASASSN-V J124222.17-660630.0,L:,,
1217,GDS_J1406373-600634,M,452.9,
1220,GDS_J1405563-641618,VAR,,
1228,GDS_J1410085-632259,VAR,,
1231,ASASSN-V J141127.86-651110.2,M,319.0,
1232,Gaia DR3 5866604341979696000,L,,
1234,GDS_J1412516-630550,VAR,,
1239,ASASSN-V J150010.97-423439.8,SRS,23.85,2457886.82
1243,ASASSN-V J150301.40-452854.0,L:,,
1245,Gaia DR3 5853828394877790592,ROT,2.01466,
1247,ASASSN-V J141725.11-643639.3,L,,
1249,ASASSN-V J150514.72-445257.1,SR,464.0,2458722.61
1253,GDS_J1417175-613116,VAR,,
1254,ASASSN-V J150546.94-471712.2,SRS,18.112,2457761.865
1258,Gaia DR3 5854220576929952128,L,,
1263,Gaia DR3 5857795737696986496,L,,
1265,Gaia DR3 5969526563125802624,ACV|roAm|roAp|SXARI,,
1268,NSV 20800,VAR:,,
1272,OGLE-GD-LPV-003020,M,367.8,
